ukl_ft_navd88,ukl_ft_usbrkb,tot_cap_taf,act_cap_taf,inund_area_ac
4138.00,4135.99,266.677,,"62,626"
4138.01,4136.00,267.304,0.000,"62,707"
4138.02,4136.01,267.931,0.627,"62,775"
4138.03,4136.02,268.559,1.256,"62,839"
4138.04,4136.03,269.188,1.884,"62,900"
4138.05,4136.04,269.817,2.514,"62,960"
4138.06,4136.05,270.447,3.143,"63,018"
4138.07,4136.06,271.078,3.774,"63,074"
4138.08,4136.07,271.709,4.405,"63,130"
4138.09,4136.08,272.340,5.036,"63,185"
4138.10,4136.09,272.972,5.669,"63,239"
4138.11,4136.10,273.605,6.301,"63,292"
4138.12,4136.11,274.238,6.934,"63,345"
4138.13,4136.12,274.872,7.568,"63,398"
4138.14,4136.13,275.506,8.202,"63,450"
4138.15,4136.14,276.141,8.837,"63,501"
4138.16,4136.15,276.776,9.472,"63,552"
4138.17,4136.16,277.412,10.108,"63,603"
4138.18,4136.17,278.048,10.744,"63,653"
4138.19,4136.18,278.685,11.381,"63,703"
4138.20,4136.19,279.322,12.018,"63,752"
4138.21,4136.20,279.960,12.656,"63,802"
4138.22,4136.21,280.598,13.295,"63,851"
4138.23,4136.22,281.237,13.933,"63,899"
4138.24,4136.23,281.876,14.572,"63,948"
4138.25,4136.24,282.516,15.212,"63,996"
4138.26,4136.25,283.156,15.852,"64,044"
4138.27,4136.26,283.797,16.493,"64,092"
4138.28,4136.27,284.438,17.134,"64,139"
4138.29,4136.28,285.080,17.776,"64,187"
4138.30,4136.29,285.722,18.418,"64,234"
4138.31,4136.30,286.364,19.061,"64,281"
4138.32,4136.31,287.007,19.704,"64,327"
4138.33,4136.32,287.651,20.347,"64,374"
4138.34,4136.33,288.295,20.991,"64,420"
4138.35,4136.34,288.939,21.635,"64,467"
4138.36,4136.35,289.584,22.280,"64,513"
4138.37,4136.36,290.229,22.926,"64,559"
4138.38,4136.37,290.875,23.572,"64,604"
4138.39,4136.38,291.522,24.218,"64,650"
4138.40,4136.39,292.168,24.865,"64,696"
4138.41,4136.40,292.815,25.512,"64,741"
4138.42,4136.41,293.463,26.159,"64,786"
4138.43,4136.42,294.111,26.807,"64,831"
4138.44,4136.43,294.760,27.456,"64,876"
4138.45,4136.44,295.409,28.105,"64,921"
4138.46,4136.45,296.058,28.754,"64,966"
4138.47,4136.46,296.708,29.404,"65,010"
4138.48,4136.47,297.358,30.055,"65,055"
4138.49,4136.48,298.009,30.705,"65,099"
4138.50,4136.49,298.660,31.357,"65,143"
4138.51,4136.50,299.312,32.008,"65,188"
4138.52,4136.51,299.964,32.660,"65,232"
4138.53,4136.52,300.617,33.313,"65,276"
4138.54,4136.53,301.270,33.966,"65,319"
4138.55,4136.54,301.923,34.619,"65,363"
4138.56,4136.55,302.577,35.273,"65,407"
4138.57,4136.56,303.231,35.927,"65,450"
4138.58,4136.57,303.886,36.582,"65,494"
4138.59,4136.58,304.541,37.237,"65,537"
4138.60,4136.59,305.197,37.893,"65,580"
4138.61,4136.60,305.853,38.549,"65,624"
4138.62,4136.61,306.509,39.205,"65,667"
4138.63,4136.62,307.166,39.862,"65,710"
4138.64,4136.63,307.823,40.520,"65,753"
4138.65,4136.64,308.481,41.177,"65,795"
4138.66,4136.65,309.139,41.835,"65,838"
4138.67,4136.66,309.798,42.494,"65,881"
4138.68,4136.67,310.457,43.153,"65,924"
4138.69,4136.68,311.116,43.813,"65,966"
