date,Month,Day,Year,Day of water year,Leap year index,Period,Normalized 30-d trailing sum UKLNI,Weight for 30-day trailing sum UKLNI,Normalized 30-d trailing sum precipitation,Weight for 30-day trailing sum precipitation,Normalized 31-1095 day trailing sum precipitation,Weight for total 31-1095 day prior precipitation,Normalized weighted average SWE,Weight for normalized weighted average SWE,3-mta normalized PDO lag 0,3-mta normalized PDO_CN34 lag 0,Climate index used,Climate index lag 0,Weight for climate index,Wetness Index v20,Normalized wetness index v20,2-week trailing mean NWI v20,Actual UKLNI (taf)
9/15/2024,9,15,2024,351,1,24,0.421052128,0.003715788,0.52259397,0.055926271,0.290796161,0.859672832,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.453991297,0.328195604,0.112967054,,1.097151539
9/16/2024,9,16,2024,352,1,24,0.428245603,0.007431576,0.438286828,0.052197853,0.295877896,0.85966188,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.457731902,0.328220559,0.110616643,,1.401973959
9/17/2024,9,17,2024,353,1,24,0.43877966,0.011147364,0.479740565,0.048469435,0.303942158,0.859650928,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.461472507,0.337624257,0.117986026,,1.373950699
9/18/2024,9,18,2024,354,1,24,0.455933576,0.014863151,0.435624141,0.044741017,0.308752823,0.859639975,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.465213112,0.340269922,0.116487155,,1.045813671
9/19/2024,9,19,2024,355,1,24,0.457154521,0.018578939,0.436542975,0.041012599,0.302360068,0.859629023,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.468953717,0.335292142,0.109059375,,1.310657583
9/20/2024,9,20,2024,356,1,24,0.463650168,0.022294727,0.431013497,0.037284181,0.29795343,0.859618071,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.472694322,0.331901204,0.09971529,,1.373509903
9/21/2024,9,21,2024,357,1,24,0.470359714,0.026010515,0.497016826,0.033555763,0.298022561,0.859607119,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.476434927,0.334853173,0.095987128,,1.546681101
9/22/2024,9,22,2024,358,1,24,0.476787007,0.029726303,0.493861193,0.029827345,0.299902419,0.859596166,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.480175532,0.336848102,0.094576484,,1.68087314
9/23/2024,9,23,2024,359,1,24,0.492944398,0.033442091,0.407707041,0.026098927,0.301441808,0.859585214,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.483916137,0.336780846,0.093237753,,1.387330229
9/24/2024,9,24,2024,360,1,24,0.491565265,0.037157879,0.258976368,0.022370509,0.307296045,0.859574262,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.487656742,0.339133512,0.093827702,,1.314288127
9/25/2024,9,25,2024,361,1,24,0.483158005,0.040873666,0.216823708,0.01864209,0.308980838,0.85956331,-,0,0,0.104439826,3 mta PDO_CN34,0.104439826,0.491397347,0.340700531,0.093335281,,1.446549688
