Date,UKL8,UKL19,UKL30,UKL41,UKL52,UKL63,UKL76,UKL85,UKL96,UKL107,WIL18,WIL40,WIL62,WIL84,WIL106,WIL128,WIL150,WIL172,WIL194,WIL216,SPR16,SPR42,SPR66,SPR91,SPR113,SPR145,SPR160,SPR185,SPR216,SPR245
3/15/2024,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.02,0,0,0,0.04,0.02,0,0,0,0,0,0,0.01,0
3/16/2024,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.03,0.02,0,0,0,0,0,0,0,0
3/19/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2024,0.08,0.09,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/22/2024,0,0,0.02,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
3/23/2024,0.28,0.3,0.27,0.23,0.23,0.25,0.31,0.29,0.34,0.39,0.16,0.17,0.19,0.22,0.22,0.32,0.39,0.27,0.42,0.29,0.23,0.33,0.25,0.46,0.42,0.26,0.53,0.32,0.16,0.21
3/24/2024,0.36,0.4,0.13,0.25,0.08,0.18,0.1,0.28,0.1,0.05,0.12,0.14,0.11,0.21,0.16,0.1,0.22,0.16,0.16,0.11,0.07,0.23,0.17,0.21,0.2,0.11,0.24,0.09,0.11,0.17
3/25/2024,0.3,0.39,0,0.19,0,0.16,0.07,0.3,0.08,0.02,0.01,0.04,0.02,0.09,0,0,0.06,0,0,0.01,0.03,0.02,0.01,0,0.04,0,0.09,0,0,0
3/26/2024,0.17,0.2,0,0.14,0,0.1,0.03,0.19,0.04,0,0.01,0.03,0,0.06,0,0,0.05,0,0,0,0,0.05,0.03,0.02,0.03,0.01,0.08,0,0.03,0.07
