day_of_water_year,max_30_trailing_sum_ppt,min_30_trailing_sum_ppt,max_of_31_1095_d_trailing_sum_ppt,min_31_1095_d_trailing_sum_ppt
1,2.91,0.004,105.777,57.734
2,3.208,0.004,105.777,57.854
3,3.213,0.004,105.778,57.854
4,3.236,0.008,105.785,57.907
5,3.238,0.011,105.785,57.941
6,3.241,0.013,105.79,57.95
7,3.208,0.012,105.79,57.979
8,3.208,0.011,105.789,57.979
9,3.213,0.009,105.787,57.996
10,3.239,0.009,105.787,58.009
11,3.24,0.009,105.824,58.009
12,3.24,0.011,105.847,58.009
13,3.241,0.011,105.852,58.009
14,3.264,0.011,105.753,58.009
15,3.264,0.011,105.646,58.009
16,3.264,0.008,106.005,58.008
17,3.261,0.004,106.331,57.994
18,3.26,0.024,106.445,57.99
19,3.341,0.025,106.634,57.931
20,3.516,0.025,106.681,57.911
21,3.733,0.029,106.672,57.866
22,3.866,0.029,106.665,57.746
23,3.874,0.037,106.665,57.361
24,3.81,0.137,106.665,56.729
25,3.809,0.183,106.664,56.535
26,3.808,0.189,106.631,56.586
27,3.915,0.191,106.571,56.315
28,3.974,0.191,106.23,56.164
29,4.397,0.196,106.129,56.11
30,4.511,0.196,106.113,56.086
31,4.996,0.201,106.121,56.082
32,5.208,0.174,105.99,56.083
33,5.285,0.154,105.819,56.14
34,5.17,0.136,105.757,56.22
35,5.017,0.021,105.716,56.254
36,4.931,0.021,104.971,56.253
37,4.773,0.028,104.932,56.255
38,4.846,0.019,104.847,56.213
39,4.878,0.06,104.855,56.207
40,4.88,0.332,104.844,56.203
41,4.884,0.331,104.662,56.203
42,4.879,0.331,104.672,56.198
43,5.082,0.329,104.714,56.194
44,5.101,0.329,104.63,56.129
45,5.1,0.341,104.632,56.119
46,5.214,0.341,104.595,56.125
47,5.168,0.093,104.242,56.125
48,5.158,0.071,103.779,56.123
49,5.16,0.053,103.729,56.122
50,5.16,0.046,103.695,56.119
51,5.159,0.042,103.695,56.131
52,5.679,0.042,103.701,56.399
53,5.717,0.058,103.688,56.508
54,5.806,0.104,103.587,56.491
55,6.228,0.106,103.582,56.259
56,7.044,0.106,103.782,56.081
57,7.37,0.11,103.434,55.628
58,7.506,0.151,103.339,55.426
59,7.681,0.55,103.161,55.461
60,7.752,0.591,103.086,55.656
61,7.925,0.645,102.7,55.963
62,8.457,0.883,102.632,56.393
63,8.701,0.9,102.77,57.37
64,8.845,0.878,102.702,57.604
65,9.532,0.689,102.576,57.599
66,9.575,0.59,102.574,57.587
67,9.439,0.597,102.455,57.549
68,9.683,0.609,102.318,57.336
69,9.494,0.837,102.537,57.167
70,8.994,0.838,102.612,57.576
71,9.482,0.789,102.612,57.734
72,10.148,0.743,102.557,57.943
73,10.57,0.374,102.417,57.937
74,10.871,0.37,102.412,57.933
75,11.082,0.498,102.415,57.938
76,11.17,0.575,102.21,57.944
77,11.125,0.811,101.973,57.954
78,11.062,0.852,101.89,57.959
79,10.975,0.863,101.907,57.959
80,10.482,0.956,101.823,58.02
81,9.549,1.011,102.121,58.093
82,9.552,0.937,102.241,58.241
83,9.551,0.854,102.278,58.238
84,9.536,0.627,102.283,58.231
85,9.439,0.385,102.384,58.232
86,9.428,0.278,102.483,58.244
87,9.371,0.121,102.85,58.258
88,9.02,0.105,102.887,58.258
89,9.295,0.111,102.896,58.273
90,9.422,0.232,102.907,58.27
91,9.518,0.54,102.929,58.27
92,10.05,0.958,102.971,58.27
93,11.126,0.98,102.976,58.27
94,12.055,0.908,102.976,58.166
95,13.385,0.692,102.989,57.984
96,13.769,0.653,102.989,57.938
97,12.703,0.67,102.948,57.785
98,12.468,0.661,102.845,57.784
99,12.117,0.24,102.793,57.71
100,11.347,0.246,102.91,57.68
101,10.651,0.338,102.737,57.621
102,9.996,0.453,102.385,57.3
103,9.591,0.488,102.418,56.177
104,9.258,0.517,102.46,55.547
105,9.044,0.838,102.488,55.51
106,9.028,0.896,102.494,55.512
107,9.326,0.911,102.413,55.596
108,9.814,0.911,102.063,55.665
109,9.863,0.913,101.56,56.023
110,10.16,0.912,101.408,56.061
111,10.268,0.91,100.433,56.051
112,9.873,0.91,100.079,55.827
113,9.691,0.85,99.793,56.007
114,9.684,0.831,99.785,56.019
115,9.098,0.802,99.75,56
116,9.105,0.676,99.67,55.792
117,9.099,0.796,99.653,55.617
118,8.959,0.815,99.551,55.798
119,8.738,0.815,99.377,56.159
120,8.388,0.815,99.253,57.269
121,8.704,0.878,98.937,58.11
122,8.12,1,98.615,58.37
123,7.487,1.073,98.04,58.879
124,7.81,1.073,97.92,58.788
125,7.808,1.079,99.423,58.76
126,7.851,1.104,99.999,58.91
127,7.87,0.601,100.169,58.887
128,8.057,0.451,100.239,58.803
129,8.671,0.354,100.27,58.743
130,8.795,0.243,100.262,58.74
131,8.833,0.06,100.157,58.735
132,8.639,0.06,100.071,58.725
133,8.392,0.058,99.965,58.691
134,8.478,0.041,99.663,58.591
135,8.471,0.039,99.652,58.442
136,8.456,0.039,99.641,58.537
137,8.456,0.036,99.617,58.271
138,8.375,0.036,99.902,57.99
139,8.025,0.101,100.211,57.966
140,7.543,0.104,101.175,57.935
141,7.471,0.106,100.982,57.937
142,6.744,0.114,101.231,57.936
143,6.909,0.114,101.303,57.92
144,6.49,0.113,101.395,57.891
145,6.555,0.142,101.704,57.831
146,6.785,0.297,101.866,57.597
147,6.159,0.301,101.923,57.52
148,6.176,0.303,102.069,57.95
149,6.18,0.305,102.307,57.758
150,6.18,0.335,102.748,57.324
151,6.836,0.434,102.806,57.006
152,7.336,0.472,102.856,57.001
153,7.34,0.478,102.982,56.961
154,7.38,0.494,102.511,56.972
155,7.376,0.506,102.101,56.971
156,7.156,0.536,102.052,56.967
157,7.005,0.532,102.28,56.552
158,7.236,0.533,102.425,56.282
159,7.23,0.509,102.418,56.279
160,7.2,0.445,102.247,56.279
161,7.151,0.538,101.761,56.12
162,7.374,0.566,101.252,56.051
163,7.283,0.512,101.265,56.01
164,7.287,0.584,101.465,55.851
165,7.257,0.633,101.468,55.836
166,7.089,0.633,101.583,55.818
167,6.307,0.57,101.708,55.818
168,5.407,0.501,101.692,55.818
169,5.428,0.505,101.693,55.884
170,4.939,0.516,101.595,55.887
171,5.218,0.53,101.676,55.882
172,5.041,0.735,101.803,55.884
173,5.426,0.797,101.8,55.877
174,5.544,0.904,101.878,55.771
175,6.002,1.006,101.907,55.718
176,6.121,0.955,101.893,55.865
177,6.216,0.896,101.873,55.729
178,6.262,0.895,101.86,55.651
179,6.277,0.899,101.845,55.271
180,6.277,0.907,101.863,55.14
181,6.277,0.708,101.895,55.206
