name,date,ppt,tmean,tmax
UKL8,2025-02-01,1.43,31.53,36
UKL8,2025-02-02,0.97,29.65,32.19
UKL8,2025-02-03,0.6,24.06,27.75
UKL19,2025-02-01,1.19,32.95,37.29
UKL19,2025-02-02,1.09,31.52,33.37
UKL19,2025-02-03,0.78,25.62,29.22
UKL30,2025-02-01,0.74,35.49,38.89
UKL30,2025-02-02,0.5,35.32,38.56
UKL30,2025-02-03,0.65,31.28,34.1
UKL41,2025-02-01,0.96,33.2,37.24
UKL41,2025-02-02,0.83,31.52,33.88
UKL41,2025-02-03,0.8,26,29.75
UKL52,2025-02-01,0.27,34.5,36.63
UKL52,2025-02-02,0.31,35.44,38.57
UKL52,2025-02-03,0.73,30.59,33.26
UKL63,2025-02-01,0.98,34.31,37.27
UKL63,2025-02-02,0.82,34.34,37.55
UKL63,2025-02-03,0.71,29.85,32.53
UKL76,2025-02-01,0.68,34.58,37.2
UKL76,2025-02-02,0.74,35.14,38.62
UKL76,2025-02-03,0.75,30.3,32.96
UKL85,2025-02-01,1.27,31.62,35.7
UKL85,2025-02-02,1.06,30.12,32.26
UKL85,2025-02-03,0.74,24.85,28.58
UKL96,2025-02-01,0.56,35.15,38.21
UKL96,2025-02-02,0.69,35.85,40.06
UKL96,2025-02-03,0.74,30.89,33.18
UKL107,2025-02-01,0.28,36.57,40.24
UKL107,2025-02-02,0.62,36.98,41.94
UKL107,2025-02-03,0.82,31.84,34.17
WIL18,2025-02-01,1.02,39.93,48.56
WIL18,2025-02-02,0.48,33.16,35.44
WIL18,2025-02-03,0.25,33.87,37.51
WIL40,2025-02-01,1.16,39.29,46.8
WIL40,2025-02-02,0.55,32.99,35.37
WIL40,2025-02-03,0.22,32.31,35.64
WIL62,2025-02-01,0.93,38.5,46.8
WIL62,2025-02-02,0.5,34.44,37.96
WIL62,2025-02-03,0.42,32.92,36.6
WIL84,2025-02-01,1.23,34.71,39.53
WIL84,2025-02-02,0.68,31.21,34.68
WIL84,2025-02-03,0.43,26.09,29.11
WIL106,2025-02-01,1.07,38.8,45.82
WIL106,2025-02-02,0.58,33.81,36.94
WIL106,2025-02-03,0.38,32.25,35.57
WIL128,2025-02-01,0.55,37.28,42.53
WIL128,2025-02-02,0.44,34.72,38.48
WIL128,2025-02-03,0.65,32.79,35.78
WIL150,2025-02-01,0.59,35.8,41.24
WIL150,2025-02-02,0.42,34.54,38.01
WIL150,2025-02-03,0.72,33.3,36.32
WIL172,2025-02-01,1,36.82,41.86
WIL172,2025-02-02,0.6,34.35,37.85
WIL172,2025-02-03,0.51,31.06,34.19
WIL194,2025-02-01,0.36,35.87,40.38
WIL194,2025-02-02,0.34,34.93,38.43
WIL194,2025-02-03,0.76,33.71,36.38
WIL216,2025-02-01,0.42,35.5,38.66
WIL216,2025-02-02,0.42,35.89,39.65
WIL216,2025-02-03,0.69,31.5,34.23
SPR16,2025-02-01,0.34,36.38,40.79
SPR16,2025-02-02,0.44,35.91,40.88
SPR16,2025-02-03,0.92,30.58,34.75
SPR42,2025-02-01,0.39,34.46,39.18
SPR42,2025-02-02,0.55,34.66,38.76
SPR42,2025-02-03,1.09,31.28,34.92
SPR66,2025-02-01,0.37,34.25,38.59
SPR66,2025-02-02,0.55,34.6,38.54
SPR66,2025-02-03,1.09,31.14,35.04
SPR91,2025-02-01,0.55,31.79,35.76
SPR91,2025-02-02,0.48,33.18,36.08
SPR91,2025-02-03,0.86,31.3,34.18
SPR113,2025-02-01,0.52,32.39,36.6
SPR113,2025-02-02,0.52,32.9,35.81
SPR113,2025-02-03,0.83,30.36,33.56
SPR145,2025-02-01,0.26,35.43,39.23
SPR145,2025-02-02,0.64,35.54,39.66
SPR145,2025-02-03,0.89,31.91,35.52
SPR160,2025-02-01,0.71,32.2,35.67
SPR160,2025-02-02,0.65,32.5,35.17
SPR160,2025-02-03,0.95,29,32.48
SPR185,2025-02-01,0.24,36.73,40.11
SPR185,2025-02-02,0.44,36.28,40.9
SPR185,2025-02-03,0.74,32.1,35.49
SPR216,2025-02-01,0.13,36.08,41.02
SPR216,2025-02-02,0.47,36.84,42.23
SPR216,2025-02-03,1.23,31.31,34.54
SPR245,2025-02-01,0.21,33.86,37.51
SPR245,2025-02-02,0.39,34.49,37.94
SPR245,2025-02-03,1.37,30.38,34.31
