Date,Billie Creek Divide SWE (in),Chemult Alternate SWE (in),Cold Springs Camp SWE (in),Diamond Lake SWE (in),Fish Lake SWE (in),Fourmile Lake SWE (in),Quartz Mountain SWE (in),Sevenmile Marsh SWE (in),Silver Creek SWE (in),Strawberry SWE (in),Summer Rim SWE (in),Taylor Butte SWE (in)
2024-09-14,0.4,0,0.3,0,0,0,0,0.2,0,0,0,0
2024-09-15,0.4,0,0.3,0,0,0,0,0.1,0,0,0,0
2024-09-16,0.4,0,0.3,0,0,0,0,0,0,0,0,0
2024-09-17,0.4,0,0.3,0,0,0,0,0.1,0,0,0,0
2024-09-18,0.4,0.1,0.3,0,0,0,0,0.1,0,0,0,0
2024-09-19,0.4,0,0.3,0,0,0,0,0.1,0,0,0,0
2024-09-20,0.4,0,0.3,0,0,0,0,0.2,0,0,0,0
2024-09-21,0.4,0,0.3,0,0,0,0,0.1,0,0,0,0
2024-09-22,0.4,0,0.3,0,0,0,0,0.2,0,0,0,0
2024-09-23,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-24,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-25,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-26,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-27,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-28,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-29,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-30,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-02,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-03,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-04,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-05,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-06,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-07,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-08,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-09,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-10,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-11,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-12,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-13,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-14,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-15,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-16,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-17,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-18,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-19,0,0,0,0,0,0,0,0,0.1,0,0,0
2024-10-20,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-21,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-22,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-23,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-24,0,0,0,0,0,0.1,0.2,0,0,0,0.2,0
2024-10-25,0,0,0,0,0,0.2,0,0,0,0,0.4,0
2024-10-26,0,0,0,0,0,0.2,0,0,0,0,0.1,0
2024-10-27,0,0,0,0,0,0.1,0,0,0,0,0,0
2024-10-28,0,0,0,0,0,0,0,0,0,0,0.2,0
2024-10-29,0.3,0,0.1,0,0,0.1,0,0,0,0,0.3,0
2024-10-30,0.1,0,0,0,0,0.1,0,0,0,0,0.2,0
2024-10-31,0.6,0.1,0.4,0.2,0.3,0.5,0.2,0.3,0.1,0,0.4,0.1
2024-11-01,0.7,0.2,0.8,0.6,0.2,0.9,0.2,0.9,0.4,0,0.5,0
2024-11-02,1.3,1.3,1.8,2.4,0.1,1.9,0.3,2,1.1,0.2,1.4,0.1
2024-11-03,2.5,1.4,2.6,2.8,0.3,2.5,0.2,2.9,1.1,0.1,1.4,0
2024-11-04,2.8,1.2,2.7,2.9,0.2,2.8,0.1,2.9,0.9,0,1.5,0
2024-11-05,2.6,1.2,2.7,2.8,0.1,2.8,0.1,3,0.9,0,1.5,0
2024-11-06,2.6,1.1,2.6,2.9,0,2.6,0,2.9,0.8,0,1.5,0
2024-11-07,2.6,1.1,2.6,2.8,0,2.6,0,2.9,0.7,0,1.6,0
2024-11-08,2.7,1.1,2.4,2.6,0,2.6,0,3,0.6,0,1.7,0
2024-11-09,2.7,1.1,2.3,2.4,0,2.6,0,3,0.4,0,1.7,0
2024-11-10,2.6,1.1,2.2,2.2,0,2.6,0,3,0.2,0,1.6,0
2024-11-11,2.4,0.8,1.9,1.8,0,2.6,0,2.9,0.1,0,1.5,0
2024-11-12,3.2,0.6,2.5,1.8,0.2,2.9,0.2,3.4,0.2,0,1.8,0
2024-11-13,3.2,0.6,2.6,2,0.1,2.9,0.1,3.5,0.2,0,1.8,0
2024-11-14,3.9,1.4,3.8,3.4,0.3,4.1,0.2,4.8,1.1,0,2.6,0.4
2024-11-15,4.1,1.6,4,4.1,0.4,4.2,0.4,4.9,1.1,0,2.8,0.6
2024-11-16,4.2,1.3,3.9,4,0.5,4.3,0.3,4.8,1,0,2.7,0.6
2024-11-17,4.5,1.6,4.1,4.2,0.6,4.5,0.4,5.1,1.1,0,2.9,0.6
2024-11-18,4.9,1.8,4.6,4.4,0.8,5,0.6,5.4,1.2,0.3,3.3,0.6
2024-11-19,5.7,1.7,5.3,4.6,1.5,5.7,0.6,6.1,1.2,0.3,3.3,0.5
2024-11-20,5.9,2.3,5.4,4,1.5,6,0.7,6.9,1.5,0.4,3.2,0.8
2024-11-21,7.1,3.6,6.4,5.8,2.2,7.6,1.2,8.3,3.1,0.8,4.7,2.2
2024-11-22,7.2,4.1,7.5,6.2,2.3,8,1.6,9.3,3.9,1.1,5.4,2.7
2024-11-23,7.3,3.9,7.3,5.6,2.1,8.2,0.7,9.2,3.5,0.6,4.9,2.3
2024-11-24,7.6,4,7.6,6,2.2,8.3,0.6,9.4,3.5,0.9,5.1,2.4
2024-11-25,7.7,4.1,7.6,6.1,2.1,8.3,0.6,9.5,3.4,0.9,5.2,2.4
2024-11-26,7.8,4.4,8,6.6,2.2,8.5,0.9,10.2,3.8,1.3,5.5,2.7
2024-11-27,8.3,4.2,8.2,6.4,2.5,8.6,0.9,10.2,3.8,1.5,5.7,2.8
2024-11-28,8.4,4.2,8.2,6.5,2.4,8.5,0.9,10.2,3.8,1.5,5.8,2.7
2024-11-29,8.4,4,8.4,6.6,2.4,8.4,1,10.2,3.7,1.5,5.9,2.7
2024-11-30,8.4,4,8.4,6.6,2.4,8.5,1,10.2,3.6,1.6,6,2.8
2024-12-01,8.4,4.1,8.3,6.8,2.4,8.4,1,10.3,3.6,1.6,5.8,2.9
2024-12-02,8.4,4.1,8.3,6.9,2.4,8.4,1,10.3,3.5,1.6,5.8,3.1
2024-12-03,8.6,4.1,8.3,6.9,2.4,8.3,1,10.3,3.6,1.6,5.7,3.1
2024-12-04,8.7,4.2,8.2,6.7,2.4,8.1,1,10.3,3.5,1.6,5.7,3.2
2024-12-05,8.5,4.2,8.2,6.4,2.4,8,0.9,10.3,3.5,1.6,5.8,3.2
2024-12-06,8.3,4.2,8.1,6.4,2.4,7.9,0.8,10.3,3.5,1.6,5.8,3.1
2024-12-07,8.2,4.3,8.1,6.4,2.4,7.8,0.8,10.3,3.5,1.6,5.8,3.1
2024-12-08,8.5,4.4,7.9,6.4,2.5,8,0.7,10.2,3.7,1.6,5.7,2.9
2024-12-09,8.5,4.1,8,6.9,2.3,7.9,0.7,9.9,3.6,1.5,5.8,3.3
2024-12-10,8.8,3.9,8.2,6.6,2.3,7.6,0.6,9.9,3.6,1.2,6,3.3
2024-12-11,8.5,3.8,8.1,6.1,2.3,7.2,0.6,10.2,3.6,1.4,5.5,3
2024-12-12,8.3,4.4,8.2,6.2,2.3,7.6,0.6,10.4,3.6,1.5,5.8,2.9
2024-12-13,8.4,4.6,8.4,6.4,2.3,7.8,0.7,10.4,3.8,1.7,5.8,3.1
2024-12-14,9,5.3,9.2,7.4,2.4,8.4,1,11.4,4.3,2.2,5.9,3.6
2024-12-15,9.8,5.3,9.7,8.1,3,9,1.3,11.7,4.6,2.7,6.1,3.7
2024-12-16,10.6,5.8,10.6,9,3.1,9.6,1.5,12.2,5,2.9,6.5,4.3
2024-12-17,10.7,6.5,11,10.2,3.1,10.1,1.5,12.9,5.8,3.1,6.2,4.6
2024-12-18,10.8,6.6,11.1,10.4,3.2,10.3,1.6,13.4,6,3.2,6.3,4.7
2024-12-19,11,6.5,11,10.2,3.2,10.2,1.5,13.6,6.1,3.1,5.9,4.7
2024-12-20,11.1,6.4,11,10,3.1,10.2,1.4,13.5,6.1,3.1,5.9,4.7
2024-12-21,11.2,6.4,11,10,3.1,10.2,1.2,13.5,6,3.1,5.8,4.7
2024-12-22,11.2,6.6,11.2,9.9,2.9,10.5,1.4,13.7,6.3,3.2,5.9,4.7
2024-12-23,11.2,6.8,11.4,9.6,2.9,10.8,1,14.1,6.3,3,5.9,4.8
2024-12-24,11.5,6.8,11.5,9.3,2.6,10.9,0.6,14.1,6.2,2.8,6,4.8
2024-12-25,12,6.4,12.1,9.2,2.9,11.1,0.6,14.6,6.5,2.7,6.3,4.9
2024-12-26,12.2,6.9,13,10.3,2.9,11.5,0.8,15.3,6.9,2.8,6.4,5.1
2024-12-27,13.6,8,14.8,12.2,3.7,13.3,1.4,17.5,8.3,3.5,6.9,6
2024-12-28,14.1,9,15.9,13.7,3.8,14.9,2,18.9,9.5,3.8,7.1,6.4
2024-12-29,13.5,9.7,16,14.2,3.4,14.6,1.6,19,10,3.7,7.3,6.5
2024-12-30,14.6,9.7,16.7,13.8,3.7,15.5,1.5,20,10.3,3.5,7.2,6.4
2024-12-31,14.6,9.5,16.7,13.6,3.6,15.5,1.4,19.9,10.3,3.7,7.3,6.6
2025-01-01,15,9.7,17.1,14.3,3.7,16,1.7,20.3,10.3,3.3,7.8,6.3
2025-01-02,15.9,10,18.5,15,4.3,17.4,1.9,21.8,10.7,3.9,7.9,6.6
2025-01-03,16,10.1,18.5,15,4.4,17.1,1.4,21.9,10.7,3.9,7.6,6.8
2025-01-04,16.2,9.9,18.4,14.6,4.4,17.5,1.4,21.9,10.6,3.9,6.8,6.5
2025-01-05,17,10.2,19.3,15.5,4.7,18.8,1.5,23,10.9,4.2,7.1,6.5
2025-01-06,17.5,10.3,19.5,15.6,5,19.1,1.6,23.4,11.1,4.2,7.4,6.6
2025-01-07,17.2,10.1,19.4,15.3,4.5,18.9,1.7,22.9,11.1,4.5,7.7,6.6
2025-01-08,17.5,10,19.4,15.5,4.4,19,1.6,22.8,11.1,4.6,7.9,6.8
2025-01-09,17.5,10,19.3,15.6,4.3,19,1.7,22.9,11,4.4,8.2,6.6
2025-01-10,17.2,10,19.4,15.8,4.2,19,1.7,22.9,11,4.3,8.5,6.7
2025-01-11,17.6,9.9,19.6,16.1,4.3,19,1.7,23.1,11,4.5,8.5,6.7
2025-01-12,17.8,9.9,19.7,16.3,4.2,19,1.4,23,11,4.3,8.6,7.5
2025-01-13,17.8,9.9,19.7,16.4,4.4,19,1.3,23,10.9,4,8.2,6.8
2025-01-14,18,9.8,19.7,16.5,4.6,18.9,1.3,23.1,10.6,3.8,8.1,6.8
2025-01-15,18.2,9.9,19.8,16.8,4.4,18.9,1.6,23.1,10.5,4.1,8.2,6.6
2025-01-16,18.5,9.8,20,16.8,4.5,18.9,1.6,23.1,10.2,4.3,8.1,7
2025-01-17,19,9.7,20,17.1,4.5,18.8,1.5,23.1,10.1,4.8,8,7.3
2025-01-18,19.2,9.5,19.8,17.1,4.2,18.6,1.2,22.9,10,4.5,7.4,7.2
2025-01-19,19.2,9.6,20,17.4,3.5,18.4,1.1,22.9,10,3.6,7.2,6.5
2025-01-20,18.2,9.6,19.8,17.7,2.7,18.2,1,22.8,10,4,6.9,5.2
2025-01-21,17.3,9.7,20,18.3,2.9,18,1.1,22.9,9.9,3.5,6.8,5.4
2025-01-22,16.3,9.6,19.9,19.6,4,17.8,1.1,22.8,9.9,4,6.4,4.6
2025-01-23,15.8,9.7,20,18.9,4.6,17.6,1.2,22.9,9.9,4,6.3,4.6
2025-01-24,15.6,10,20.4,17,4.7,17.4,1.4,22.9,10,3.9,6.5,4.9
2025-01-25,15.7,9.8,20.7,16.4,4.3,17.2,1.1,22.7,10,4.8,6.5,6.4
2025-01-26,15.4,9.6,20.4,15.7,4.4,16.8,1,22.5,9.6,3.9,5.6,6.3
2025-01-27,15.1,9.5,20.5,14.7,5.2,16.7,1,22.6,9.7,3.9,4.6,4.6
2025-01-28,15.1,9.6,21,14.7,5.6,16.7,1.1,22.7,9.8,3.6,4.2,3.4
2025-01-29,14.9,9.6,21.4,14.5,5.5,16.8,1.1,22.7,9.8,3.9,4.3,3.7
2025-01-30,14.7,9.6,21.3,14.2,5.4,16.9,1,22.8,9.7,3.9,4.4,4.2
2025-01-31,14.6,9.9,21.6,14.9,5.4,17.2,1.2,23,9.6,3.5,4.9,4.6
