day_of_water_year,simulated_max_thirty_d_trailing_sum_uklni_taf,simulated_min_thirty_d_trailing_sum_uklni_taf,observed_max_thirty_d_trailing_sum_uklni_taf,observed_min_thirty_d_trailing_sum_uklni_taf
1,54.77,20.93,56.4,22.7
2,55.24,21.63,56.8,22.8
3,56.38,22.62,56.8,23.3
4,57.28,23.69,57.3,24.1
5,58.59,25.15,58.2,25.1
6,59.59,25.41,57.8,25.3
7,60.27,25.84,58.5,25.7
8,60.87,26.1,60.4,25.9
9,61.27,26.58,61.5,26.4
10,61.47,27.16,62.2,26.9
11,62.13,27.62,63.4,27.3
12,63.29,28.4,64.6,28.1
13,64.08,29.18,65.4,28.8
14,64.89,29.77,66.2,29.4
15,66.52,30.45,68.1,30.2
16,68.23,32.01,69.7,31.8
17,69.16,33.15,70.6,33
18,70.1,33.89,71.5,33.8
19,70.47,34.2,71.8,34.3
20,70.55,34.54,71.8,34.7
21,70.76,35.01,72,35.2
22,70.99,35.38,72.2,35.6
23,70.77,35.49,72,35.8
24,70.76,36.14,72,36.5
25,70.9,37.05,72.2,37.4
26,70.87,37.33,72.1,38
27,71.89,37.45,72.1,38.2
28,73.89,38.56,74.6,39.3
29,75.65,39.65,76.3,40.3
30,76.78,40.57,77.4,41.3
31,79.12,41.35,79.3,42.2
32,81.6,42.05,81.9,42.9
33,84.34,42.36,84.6,43.2
34,87.05,42.96,87.3,43.8
35,89.18,44.17,89.4,45
36,91.01,45.53,91.2,46.4
37,92.68,45.98,92.9,47.4
38,93.84,46.82,94.1,48.9
39,94.81,47.65,95,50.9
40,95.73,48.74,96,52.6
41,96.6,49.78,96.8,53
42,97.6,51.32,97.8,53
43,98.36,52.67,98.6,52.9
44,98.92,53.4,99.1,53.3
45,100,53.44,100.2,53.3
46,99.69,53.34,99.8,53.2
47,99.44,53.91,99.6,53.8
48,99.02,56.18,99.1,56
49,98.7,58.39,98.8,58.7
50,98.37,59.05,99,60.6
51,99.09,59.78,99.9,61.8
52,100.71,59.97,101.4,61.9
53,101.65,60.47,102.3,62.1
54,105.1,60.68,105.7,62.1
55,111,61.08,111.6,62.6
56,116.87,61.68,117.4,63.7
57,122.39,62.31,122.9,64.7
58,125.64,62.8,126.1,65
59,130.9,62.99,131.3,64.4
60,136.85,62.53,137.2,63.9
61,141.59,61.76,141.9,63
62,145.63,62.11,146,63.3
63,149.67,62.4,150,63.5
64,154.02,62.74,154.4,63.8
65,158.4,63.73,158.8,64.4
66,164.07,64.66,164.5,65.6
67,169.14,66,169.5,66.5
68,173.11,66.51,173.5,66.6
69,177.67,66.56,178,66.6
70,181.22,66.86,181.5,66.8
71,184.11,67.52,184.4,67.7
72,186.7,67.64,187,67.8
73,188.97,67.68,189.2,68.2
74,190.81,67.72,191.1,68.3
75,192.58,67.72,192.8,68.3
76,194,67.67,194.3,68.2
77,195.82,67.53,196.1,68.1
78,197.6,67.61,198,68.2
79,199.12,67.85,199.5,68.4
80,200.43,68.1,200.8,68.6
81,201.84,68.44,202.2,69
82,202.86,68.77,203.3,69.3
