day_of_water_year,observed_max_thirty_d_trailing_sum_uklni_taf,observed_min_thirty_d_trailing_sum_uklni_taf
1,56.41124121,22.71241155
2,56.84672331,22.80661265
3,56.80271987,23.29098514
4,57.27160285,24.14929985
5,58.18149313,25.05123728
6,57.80600346,25.28870409
7,58.51998883,25.70135195
8,60.43718258,25.92259989
9,61.51076735,26.36001871
10,62.22023964,26.91511531
11,63.41903002,27.32677832
12,64.57872856,28.10323067
13,65.37211596,28.84028869
14,66.2094586,29.43173614
15,68.08688713,30.17434417
16,69.69669767,31.81537553
17,70.5718087,33.01177518
18,71.45235951,33.8435561
19,71.78044008,34.25313689
20,71.79874199,34.66097397
21,71.99716895,35.19569471
22,72.2262762,35.59833427
23,72.02129393,35.76462144
24,72.00431443,36.49287233
25,72.17679321,37.44584757
26,72.10439484,38.00264777
27,72.11597098,38.16341788
28,74.63879168,39.29210582
29,76.3425316,40.31281394
30,77.43989485,41.3136658
31,79.31258317,42.15092663
32,81.87922304,42.89750398
33,84.59789844,43.24266626
34,87.27386293,43.837867
35,89.41857587,45.0432772
36,91.23155506,46.44298875
37,92.89821004,47.3839308
38,94.07134382,48.91128739
39,95.02750924,50.92178909
40,95.96762856,52.64559528
41,96.83510816,53.00384494
42,97.80860648,52.98276116
43,98.5714401,52.93493863
44,99.106804,53.2873018
45,100.1757257,53.32237287
46,99.8132316,53.21492501
47,99.55784345,53.76494266
48,99.13581394,56.04996309
49,98.8188038,58.71481381
50,98.95994465,60.5818037
51,99.89197672,61.77920066
52,101.414957,61.91348014
53,102.2925688,62.14253075
54,105.6814873,62.06781416
55,111.5561766,62.61439398
56,117.4301945,63.66573628
57,122.9150931,64.68571227
58,126.1000761,64.99566024
59,131.3203683,64.39475807
60,137.2209232,63.8817441
61,141.9056172,63.02475268
62,145.9671989,63.33237769
63,150.0095647,63.53414695
64,154.3625379,63.78928421
65,158.768114,64.38035308
66,164.4645113,65.64420842
67,169.5100042,66.46828456
68,173.4544894,66.63985877
69,177.9845624,66.62132047
70,181.522176,66.83584015
71,184.408118,67.66506124
72,186.9877645,67.7991841
73,189.2453354,68.19946616
74,191.0758303,68.25871332
75,192.8465392,68.2853375
76,194.2725931,68.23377007
77,196.1463571,68.07183192
78,197.9573741,68.15048651
79,199.499574,68.39118397
80,200.8419016,68.63448448
81,202.2475055,69.01259231
82,203.2833575,69.34372451
83,204.9362164,67.90961465
84,204.052567,66.43421078
85,200.3416658,66.31077642
86,196.5897967,66.42602311
87,191.8738497,67.2320969
88,189.500779,68.04325327
89,189.9356859,68.87385517
90,191.5497191,69.62044553
91,193.0398042,70.30322844
92,194.6077698,70.92489887
93,198.8012737,71.36007927
94,203.5279459,71.78521685
95,213.0729458,73.15017738
96,224.0244416,72.2903771
97,237.2968933,72.05061447
98,250.5002847,72.31640463
99,264.6274369,72.55802699
100,279.6176054,72.32342408
101,294.0042312,72.3067849
102,306.7006911,72.37962404
103,318.1128753,72.42446447
104,328.026438,72.93743794
105,336.9454503,73.27951823
106,344.4375803,74.20252791
107,350.2438207,75.04418183
108,355.5063833,75.51625674
109,359.6742956,76.43185201
110,362.7595058,76.98606895
111,366.7792477,77.6829344
112,370.8749306,78.23750034
113,374.5133053,78.62834528
114,378.0476897,79.03996644
115,381.6333282,79.32007054
116,385.1020065,79.65602971
117,388.2637093,79.9421283
118,391.0165122,80.20509495
119,393.766621,80.13719167
120,396.16272,80.08455878
121,397.7467169,80.06625709
122,400.1904824,80.0605683
123,400.4461046,80.05682487
124,398.9161936,80.65236074
125,393.6714644,81.13696109
126,387.7609298,81.84713217
127,379.9686126,82.30083411
128,370.4486271,82.6865223
129,359.881229,82.48605374
130,348.9062233,81.16162996
131,337.4651167,79.75793131
132,326.6410094,78.29193381
133,316.7977197,76.91966585
134,307.6064067,75.48320067
135,299.4174247,74.14164215
136,291.6248354,72.89300528
137,285.8187014,71.73020632
138,280.3005157,70.77430477
139,275.9984879,69.8182033
140,272.8814671,68.9995303
141,269.3773361,68.08706778
142,266.8212669,67.38544545
143,264.0626443,66.84919238
144,261.8858071,66.13280536
145,262.1846668,65.73043879
146,267.9410234,65.44152493
147,274.0125391,65.55463339
148,278.445233,65.67718611
149,284.4974186,65.23689424
150,291.1316064,64.79556349
151,297.4660061,64.44602093
152,302.871769,64.15281512
153,306.930593,63.87457077
154,311.0101971,63.63040489
155,315.4245712,63.4164812
156,319.3598532,63.71305362
157,323.21919,64.28889186
158,326.8140194,64.67092954
159,330.2978599,64.72554237
160,333.1725754,64.66756766
161,336.1705566,64.48692034
162,339.1175813,64.49439684
163,341.5697435,64.33689462
164,342.2144342,64.0280598
165,340.9101432,63.76560491
166,339.1403491,63.55637682
167,336.4290316,63.36375224
168,331.7703718,63.48846733
169,326.4309702,63.69349628
170,320.8504916,63.79896595
171,315.5088841,64.06287215
172,310.5393952,64.38303342
173,306.3844453,64.43871934
174,301.5730122,64.34285642
175,297.426322,64.24205455
176,291.6969034,64.19454262
177,286.025801,63.93545786
178,280.6005992,63.47109253
179,274.3476982,63.50201569
180,267.4363031,63.47926284
181,261.0166255,63.691973
182,264.4350177,63.96297591
183,269.0172284,64.0345063
184,273.4099389,64.07955015
185,277.792328,64.02976402
186,282.3051403,63.44995497
187,286.5710128,62.54433117
188,293.620155,62.11056489
189,303.3280068,62.68904008
190,312.2753076,63.30401079
191,320.6791016,62.92067715
192,328.0597291,62.66065791
193,335.5878444,62.04064617
194,343.2591727,60.81293857
195,350.4408613,60.00869175
196,356.7621105,59.29166785
197,362.0415464,58.8825923
198,366.050179,57.3515005
199,369.4739304,56.21354541
200,370.6995311,55.49636615
201,370.4741184,55.31975951
202,370.4837429,54.58998328
203,369.0381637,53.88601032
204,366.2045759,53.55640644
205,362.2623511,53.08950247
206,357.0561772,52.21035102
207,350.1268589,51.58748313
208,343.7663486,50.4750112
209,337.1520412,49.59594917
210,330.7918617,49.26763042
211,323.5240808,49.19016568
212,316.0320361,48.77936153
213,308.5918696,48.81587773
214,301.7905533,49.03029598
215,294.9900226,49.19841011
216,288.4928005,49.27823347
217,288.1733498,49.30257898
218,289.6098122,49.18471961
219,290.6858304,49.15546864
220,291.7187112,49.22963935
221,292.2243598,49.32634698
222,293.4056563,49.08294983
223,293.9571789,49.00560896
224,293.7529423,49.04845013
225,294.1500768,48.20324893
226,293.0667988,46.92629162
227,291.1429134,44.94880855
228,289.0082512,43.16742739
229,287.7917175,42.49722561
230,285.4940189,41.40609455
231,282.9824155,40.66788534
232,280.6807678,39.97539621
233,277.6694381,39.7394521
234,274.9926844,40.01564582
235,271.8534238,40.49364228
236,267.8808327,41.27594338
237,263.5509011,40.61253707
238,261.5267151,38.82301532
239,260.252767,37.07981653
240,258.8370314,35.46077792
241,257.6824177,34.07761834
242,255.9444237,32.6180478
243,253.7776365,31.1904311
244,251.5496587,30.06213464
245,249.1289388,27.81168014
246,247.0682905,25.77479435
247,249.3248556,23.93681378
248,251.2995819,22.56438567
249,252.274632,20.85369748
250,252.700397,19.14386254
251,252.4364247,17.11331356
252,251.7309154,15.80249249
253,250.2176008,13.44149886
254,249.5324435,11.84581406
255,249.1769168,10.0990119
256,248.2148799,7.986353738
257,245.7808338,5.991751358
258,243.352074,4.572560611
259,240.3792725,2.815430579
260,237.1205129,1.602868214
261,233.8424176,0.548566199
262,230.2553036,-0.605052849
263,226.9965383,-1.227665231
264,223.5843044,-2.482616159
265,219.764797,-3.007938018
266,215.8430979,-3.140627299
267,212.1708661,-3.04605513
268,208.4770185,-3.135407097
269,203.6037831,-3.810371005
270,199.4811586,-4.356485482
271,195.5586657,-4.821225124
272,191.1921826,-5.236144152
273,186.5997433,-6.172871916
274,181.523082,-7.338241227
275,176.2860171,-8.345203324
276,171.432256,-8.541726319
277,167.0773134,-8.348310129
278,162.0489604,-7.917823685
279,157.0557976,-6.409075775
280,152.0530184,-4.840039984
281,146.9750331,-3.254994707
282,142.091239,-1.61644967
283,137.9000995,0.25695817
284,133.4103234,1.779031783
285,128.3881566,3.658357998
286,123.3090541,5.246083281
287,119.0265842,4.350446124
288,114.6173459,3.204310929
289,110.1883129,2.09369034
290,106.122376,0.008390698
291,102.3154136,-1.469702409
292,98.63821029,-3.27228457
293,95.03602802,-4.772822779
294,91.57984292,-6.134397033
295,88.12824151,-7.278740773
296,84.97795955,-8.215905952
297,81.72744691,-8.517679069
298,78.42588558,-9.395523478
299,75.83727934,-10.13580421
300,74.1236985,-10.76501384
301,72.75966337,-11.40856332
302,71.22601064,-11.6299548
303,70.4397687,-11.55388702
304,68.3189648,-11.44889359
305,65.93932121,-12.00510495
306,63.48153475,-12.15832985
307,60.75707942,-12.28985582
308,58.10022897,-12.02034006
309,55.6482833,-12.04794217
310,53.17849174,-11.66393269
311,50.78437424,-10.79289294
312,48.53715213,-10.67970843
313,46.71530444,-10.24296149
314,45.04521703,-9.634360502
315,43.59536553,-10.13370289
316,42.45051901,-10.41476496
317,41.08251255,-10.10213174
318,41.4350263,-9.687147764
319,42.56633351,-9.375354871
320,43.64225681,-8.352814285
321,44.83139807,-6.998404085
322,46.21343362,-5.423666541
323,47.2593087,-3.566599231
324,48.86849652,-2.267920171
325,49.91381415,-2.229979556
326,51.17456198,-2.507351277
327,52.1689077,-2.506013345
328,52.7174725,-2.686190916
329,53.0686465,-2.890724169
330,53.53918084,-2.64853237
331,54.20362993,-2.816057479
332,54.94261728,-2.696655018
333,55.58714893,-2.689073805
334,55.82281183,-2.589870372
335,56.21833208,-2.403161964
336,57.03326764,-2.427702487
337,57.42797693,-2.358414634
338,58.33870913,-2.226935171
339,59.26441407,-2.27408497
340,59.22320671,-2.005073505
341,58.91759109,-1.708582127
342,59.13570151,-1.25020018
343,59.32194183,-0.734557747
344,59.09681842,-0.024110237
345,58.59161947,0.323529826
346,57.81236472,0.813559398
347,57.51727634,1.166355587
348,57.20327605,1.88282487
349,56.30723981,2.299454744
350,55.51786216,2.959303981
351,54.99117925,3.745670656
352,54.50011063,4.699774597
353,54.44494449,5.62856162
354,54.05347259,6.604161405
355,54.13838058,7.881044029
356,53.89970932,9.074228016
357,53.78018822,10.18202052
358,53.78160996,11.49751278
359,54.33805495,12.62636546
360,54.77375295,14.34328694
361,54.83203791,15.67838672
362,54.82438701,17.21585234
363,55.02324258,18.53374121
364,55.52115043,20.08370031
365,55.87308217,21.34410485
