day_of_water_year,period,lookup_date
1,1,1-Oct
2,1,2-Oct
3,1,3-Oct
4,1,4-Oct
5,1,5-Oct
6,1,6-Oct
7,1,7-Oct
8,1,8-Oct
9,1,9-Oct
10,1,10-Oct
11,1,11-Oct
12,1,12-Oct
13,1,13-Oct
14,1,14-Oct
15,2,15-Oct
16,2,16-Oct
17,2,17-Oct
18,2,18-Oct
19,2,19-Oct
20,2,20-Oct
21,2,21-Oct
22,2,22-Oct
23,2,23-Oct
24,2,24-Oct
25,2,25-Oct
26,2,26-Oct
27,2,27-Oct
28,2,28-Oct
29,2,29-Oct
30,2,30-Oct
31,2,31-Oct
32,3,1-Nov
33,3,2-Nov
34,3,3-Nov
35,3,4-Nov
36,3,5-Nov
37,3,6-Nov
38,3,7-Nov
39,3,8-Nov
40,3,9-Nov
41,3,10-Nov
42,3,11-Nov
43,3,12-Nov
44,3,13-Nov
45,3,14-Nov
46,4,15-Nov
47,4,16-Nov
48,4,17-Nov
49,4,18-Nov
50,4,19-Nov
51,4,20-Nov
52,4,21-Nov
53,4,22-Nov
54,4,23-Nov
55,4,24-Nov
56,4,25-Nov
57,4,26-Nov
58,4,27-Nov
59,4,28-Nov
60,4,29-Nov
61,4,30-Nov
62,5,1-Dec
63,5,2-Dec
64,5,3-Dec
65,5,4-Dec
66,5,5-Dec
67,5,6-Dec
68,5,7-Dec
69,5,8-Dec
70,5,9-Dec
71,5,10-Dec
72,5,11-Dec
73,5,12-Dec
74,5,13-Dec
75,5,14-Dec
76,6,15-Dec
77,6,16-Dec
78,6,17-Dec
79,6,18-Dec
80,6,19-Dec
81,6,20-Dec
82,6,21-Dec
83,6,22-Dec
84,6,23-Dec
85,6,24-Dec
86,6,25-Dec
87,6,26-Dec
88,6,27-Dec
89,6,28-Dec
90,6,29-Dec
91,6,30-Dec
92,6,31-Dec
93,7,1-Jan
94,7,2-Jan
95,7,3-Jan
96,7,4-Jan
97,7,5-Jan
98,7,6-Jan
99,7,7-Jan
100,7,8-Jan
101,7,9-Jan
102,7,10-Jan
103,7,11-Jan
104,7,12-Jan
105,7,13-Jan
106,7,14-Jan
107,8,15-Jan
108,8,16-Jan
109,8,17-Jan
110,8,18-Jan
111,8,19-Jan
112,8,20-Jan
113,8,21-Jan
114,8,22-Jan
115,8,23-Jan
116,8,24-Jan
117,8,25-Jan
118,8,26-Jan
119,8,27-Jan
120,8,28-Jan
121,8,29-Jan
122,8,30-Jan
123,8,31-Jan
124,9,1-Feb
125,9,2-Feb
126,9,3-Feb
127,9,4-Feb
128,9,5-Feb
129,9,6-Feb
130,9,7-Feb
131,9,8-Feb
132,9,9-Feb
133,9,10-Feb
134,9,11-Feb
135,9,12-Feb
136,9,13-Feb
137,9,14-Feb
138,10,15-Feb
139,10,16-Feb
140,10,17-Feb
141,10,18-Feb
142,10,19-Feb
143,10,20-Feb
144,10,21-Feb
145,10,22-Feb
146,10,23-Feb
147,10,24-Feb
148,10,25-Feb
149,10,26-Feb
150,10,27-Feb
151,10,28-Feb
152,11,1-Mar
153,11,2-Mar
154,11,3-Mar
155,11,4-Mar
156,11,5-Mar
157,11,6-Mar
158,11,7-Mar
159,11,8-Mar
160,11,9-Mar
161,11,10-Mar
162,11,11-Mar
163,11,12-Mar
164,11,13-Mar
165,11,14-Mar
166,12,15-Mar
167,12,16-Mar
168,12,17-Mar
169,12,18-Mar
170,12,19-Mar
171,12,20-Mar
172,12,21-Mar
173,12,22-Mar
174,12,23-Mar
175,12,24-Mar
176,12,25-Mar
177,12,26-Mar
178,12,27-Mar
179,12,28-Mar
180,12,29-Mar
181,12,30-Mar
182,12,31-Mar
183,13,1-Apr
184,13,2-Apr
185,13,3-Apr
186,13,4-Apr
187,13,5-Apr
188,13,6-Apr
189,13,7-Apr
190,13,8-Apr
191,13,9-Apr
192,13,10-Apr
193,13,11-Apr
194,13,12-Apr
195,13,13-Apr
196,13,14-Apr
197,14,15-Apr
198,14,16-Apr
199,14,17-Apr
200,14,18-Apr
201,14,19-Apr
202,14,20-Apr
203,14,21-Apr
204,14,22-Apr
205,14,23-Apr
206,14,24-Apr
207,14,25-Apr
208,14,26-Apr
209,14,27-Apr
210,14,28-Apr
211,14,29-Apr
212,14,30-Apr
213,15,1-May
214,15,2-May
215,15,3-May
216,15,4-May
217,15,5-May
218,15,6-May
219,15,7-May
220,15,8-May
221,15,9-May
222,15,10-May
223,15,11-May
224,15,12-May
225,15,13-May
226,15,14-May
227,16,15-May
228,16,16-May
229,16,17-May
230,16,18-May
231,16,19-May
232,16,20-May
233,16,21-May
234,16,22-May
235,16,23-May
236,16,24-May
237,16,25-May
238,16,26-May
239,16,27-May
240,16,28-May
241,16,29-May
242,16,30-May
243,16,31-May
244,17,1-Jun
245,17,2-Jun
246,17,3-Jun
247,17,4-Jun
248,17,5-Jun
249,17,6-Jun
250,17,7-Jun
251,17,8-Jun
252,17,9-Jun
253,17,10-Jun
254,17,11-Jun
255,17,12-Jun
256,17,13-Jun
257,17,14-Jun
258,18,15-Jun
259,18,16-Jun
260,18,17-Jun
261,18,18-Jun
262,18,19-Jun
263,18,20-Jun
264,18,21-Jun
265,18,22-Jun
266,18,23-Jun
267,18,24-Jun
268,18,25-Jun
269,18,26-Jun
270,18,27-Jun
271,18,28-Jun
272,18,29-Jun
273,18,30-Jun
274,19,1-Jul
275,19,2-Jul
276,19,3-Jul
277,19,4-Jul
278,19,5-Jul
279,19,6-Jul
280,19,7-Jul
281,19,8-Jul
282,19,9-Jul
283,19,10-Jul
284,19,11-Jul
285,19,12-Jul
286,19,13-Jul
287,19,14-Jul
288,20,15-Jul
289,20,16-Jul
290,20,17-Jul
291,20,18-Jul
292,20,19-Jul
293,20,20-Jul
294,20,21-Jul
295,20,22-Jul
296,20,23-Jul
297,20,24-Jul
298,20,25-Jul
299,20,26-Jul
300,20,27-Jul
301,20,28-Jul
302,20,29-Jul
303,20,30-Jul
304,20,31-Jul
305,21,1-Aug
306,21,2-Aug
307,21,3-Aug
308,21,4-Aug
309,21,5-Aug
310,21,6-Aug
311,21,7-Aug
312,21,8-Aug
313,21,9-Aug
314,21,10-Aug
315,21,11-Aug
316,21,12-Aug
317,21,13-Aug
318,21,14-Aug
319,22,15-Aug
320,22,16-Aug
321,22,17-Aug
322,22,18-Aug
323,22,19-Aug
324,22,20-Aug
325,22,21-Aug
326,22,22-Aug
327,22,23-Aug
328,22,24-Aug
329,22,25-Aug
330,22,26-Aug
331,22,27-Aug
332,22,28-Aug
333,22,29-Aug
334,22,30-Aug
335,22,31-Aug
336,23,1-Sep
337,23,2-Sep
338,23,3-Sep
339,23,4-Sep
340,23,5-Sep
341,23,6-Sep
342,23,7-Sep
343,23,8-Sep
344,23,9-Sep
345,23,10-Sep
346,23,11-Sep
347,23,12-Sep
348,23,13-Sep
349,23,14-Sep
350,24,15-Sep
351,24,16-Sep
352,24,17-Sep
