day_of_water_year,simulated_max_thirty_d_trailing_sum_uklni_taf,simulated_min_thirty_d_trailing_sum_uklni_taf,observed_max_thirty_d_trailing_sum_uklni_taf,observed_min_thirty_d_trailing_sum_uklni_taf
1,54.77,20.933000000000003,56.4,22.7
2,55.24100000000001,21.629000000000005,56.8,22.8
3,56.383,22.615000000000002,56.8,23.3
4,57.284000000000006,23.685000000000002,57.3,24.1
5,58.588,25.145000000000003,58.2,25.1
6,59.589000000000006,25.412000000000003,57.8,25.3
7,60.272000000000006,25.836000000000002,58.5,25.7
8,60.872,26.104000000000003,60.4,25.9
9,61.272000000000006,26.580000000000002,61.5,26.4
10,61.472,27.159000000000002,62.2,26.9
11,62.126000000000005,27.617000000000004,63.4,27.3
12,63.291000000000004,28.401000000000003,64.6,28.1
13,64.081,29.182000000000002,65.4,28.8
14,64.892,29.768000000000004,66.2,29.4
15,66.51700000000001,30.452,68.1,30.2
16,68.23100000000001,32.007000000000005,69.7,31.8
17,69.16300000000001,33.145,70.6,33
18,70.099,33.888000000000005,71.5,33.8
19,70.46600000000001,34.203,71.8,34.3
20,70.546,34.537000000000006,71.8,34.7
21,70.76,35.008,72,35.2
22,70.98700000000001,35.376000000000005,72.2,35.6
23,70.768,35.486000000000004,72,35.8
24,70.75500000000001,36.144000000000005,72,36.5
25,70.903,37.04600000000001,72.2,37.4
26,70.87,37.327000000000005,72.1,38
27,71.891,37.446000000000005,72.1,38.2
28,73.891,38.56100000000001,74.6,39.3
29,75.65100000000001,39.649,76.3,40.3
30,76.778,40.573,77.4,41.3
31,79.11500000000001,41.348000000000006,79.3,42.2
32,81.60300000000001,42.051,81.9,42.9
33,84.343,42.362,84.6,43.2
34,87.046,42.956,87.3,43.8
35,89.17800000000001,44.166000000000004,89.4,45
36,91.013,45.52700000000001,91.2,46.4
37,92.67800000000001,45.979000000000006,92.9,47.4
38,93.84200000000001,46.822,94.1,48.9
39,94.808,47.654,95,50.9
40,95.732,48.739000000000004,96,52.6
41,96.602,49.775000000000006,96.8,53
42,97.604,51.321000000000005,97.8,53
43,98.357,52.666000000000004,98.6,52.9
44,98.923,53.39600000000001,99.1,53.3
45,99.99900000000001,53.437000000000005,100.2,53.3
46,99.69200000000001,53.33500000000001,99.8,53.2
47,99.441,53.910000000000004,99.6,53.8
48,99.01700000000001,56.181000000000004,99.1,56
49,98.69800000000001,58.389,98.8,58.7
50,98.36600000000001,59.047000000000004,99,60.6
